 canplay at 0.00s
 canplaythrough at 0.00s
 canplaythrough at 0.00s
 waiting at 0.00s
 canplay at 0.00s
 playing at 0.00s
 waiting at 0.33s
favicon.ico:1  GET http://localhost:8123/favicon.ico 404 (Not Found)
 canplay at 0.38s
 playing at 0.38s
 waiting at 0.84s
 canplay at 0.90s
 playing at 0.90s
 waiting at 1.72s
 canplay at 1.77s
 playing at 1.77s
 waiting at 3.42s
 canplay at 3.48s
 playing at 3.48s
 waiting at 6.84s
 canplay at 6.89s
 playing at 6.89s
 waiting at 10.12s
 canplay at 10.18s
 playing at 10.18s
 waiting at 13.36s
 canplay at 13.42s
 playing at 13.42s
 waiting at 16.50s
 canplay at 16.55s
 playing at 16.56s
 waiting at 19.74s
 canplay at 19.80s
 playing at 19.80s
 waiting at 23.07s
 canplay at 23.13s
 playing at 23.13s
 waiting at 26.12s
 canplay at 26.18s
 playing at 26.18s
 waiting at 30.92s
 canplay at 30.98s
 playing at 30.98s
 waiting at 34.38s
 canplay at 34.43s
 playing at 34.43s
 waiting at 38.50s
 canplay at 38.55s
 playing at 38.55s
 waiting at 41.91s
 canplay at 41.96s
 playing at 41.96s
 waiting at 45.36s
 canplay at 45.42s
 playing at 45.42s
 waiting at 49.46s
 canplay at 49.51s
 playing at 49.52s
 waiting at 53.62s
 canplay at 53.67s
 playing at 53.67s
(index):104 waiting at 57.20s
(index):104 canplay at 57.26s
(index):104 playing at 57.26s
(index):104 waiting at 60.50s
(index):104 canplay at 60.54s
(index):104 playing at 60.54s
(index):104 waiting at 63.92s
(index):104 canplay at 63.98s
(index):104 playing at 63.98s
(index):104 waiting at 67.00s
(index):104 canplay at 67.05s
(index):104 playing at 67.05s
(index):104 waiting at 70.09s
(index):104 canplay at 70.14s
(index):104 playing at 70.14s
(index):104 waiting at 73.20s
(index):104 canplay at 73.26s
(index):104 playing at 73.26s
(index):104 waiting at 76.30s
(index):104 canplay at 76.35s
(index):104 playing at 76.35s
(index):104 waiting at 79.37s
(index):104 canplay at 79.42s
(index):104 playing at 79.42s
(index):104 waiting at 82.51s
(index):104 canplay at 82.56s
(index):104 playing at 82.56s
(index):104 waiting at 86.58s
(index):104 canplay at 86.63s
(index):104 playing at 86.64s
(index):104 waiting at 89.72s
(index):104 canplay at 89.77s
(index):104 playing at 89.77s
(index):104 waiting at 92.80s
(index):104 canplay at 92.84s
(index):104 playing at 92.84s
(index):104 waiting at 95.89s
(index):104 canplay at 95.94s
(index):104 playing at 95.94s
(index):104 waiting at 99.00s
(index):104 canplay at 99.05s
(index):104 playing at 99.05s
(index):104 waiting at 102.24s
(index):104 canplay at 102.29s
(index):104 playing at 102.29s
(index):104 waiting at 105.33s
(index):104 canplay at 105.39s
(index):104 playing at 105.39s
(index):104 waiting at 108.40s
(index):104 canplay at 108.46s
(index):104 playing at 108.46s
(index):104 waiting at 112.03s
(index):104 canplay at 112.09s
(index):104 playing at 112.09s
(index):104 waiting at 115.47s
(index):104 canplay at 115.52s
(index):104 playing at 115.52s
(index):104 waiting at 118.92s
(index):104 canplay at 118.98s
(index):104 playing at 118.98s
(index):104 waiting at 122.33s
(index):104 canplay at 122.39s
(index):104 playing at 122.39s
(index):104 waiting at 125.79s
(index):104 canplay at 125.85s
(index):104 playing at 125.85s
(index):104 waiting at 129.21s
(index):104 canplay at 129.26s
(index):104 playing at 129.26s
(index):104 waiting at 132.49s
(index):104 canplay at 132.54s
(index):104 playing at 132.54s
(index):104 waiting at 135.75s
(index):104 canplay at 135.81s
(index):104 playing at 135.81s
(index):104 waiting at 138.87s
(index):104 canplay at 138.92s
(index):104 playing at 138.92s
(index):104 waiting at 142.28s
(index):104 canplay at 142.34s
(index):104 playing at 142.34s
(index):104 waiting at 145.72s
(index):104 canplay at 145.77s
(index):104 playing at 145.77s
(index):104 waiting at 149.17s
(index):104 canplay at 149.23s
(index):104 playing at 149.23s
(index):104 waiting at 152.63s
(index):104 canplay at 152.68s
(index):104 playing at 152.68s
(index):104 waiting at 156.13s
(index):104 canplay at 156.18s
(index):104 playing at 156.18s
(index):104 waiting at 159.50s
(index):104 canplay at 159.55s
(index):104 playing at 159.55s
(index):104 waiting at 165.26s
(index):104 canplay at 165.31s
(index):104 playing at 165.31s
(index):104 waiting at 173.58s
(index):104 canplay at 173.63s
(index):104 playing at 173.63s
(index):104 waiting at 179.42s
(index):104 canplay at 179.48s
(index):104 playing at 179.48s
(index):104 waiting at 184.50s
(index):104 canplay at 184.55s
(index):104 playing at 184.55s
(index):104 waiting at 188.34s
(index):104 canplay at 188.39s
(index):104 playing at 188.39s
(index):104 waiting at 195.25s
(index):104 canplay at 195.31s
(index):104 playing at 195.31s
(index):104 waiting at 200.76s
(index):104 canplay at 200.81s
(index):104 playing at 200.81s
(index):104 waiting at 205.53s
(index):104 canplay at 205.59s
(index):104 playing at 205.59s
(index):104 waiting at 209.00s
(index):104 canplay at 209.05s
(index):104 playing at 209.05s
(index):104 waiting at 214.06s
(index):104 canplay at 214.10s
(index):104 playing at 214.10s
(index):104 waiting at 225.47s
(index):104 canplay at 225.51s
(index):104 playing at 225.52s
(index):104 waiting at 229.58s
(index):104 canplay at 229.63s
(index):104 playing at 229.63s
(index):104 waiting at 233.72s
(index):104 canplay at 233.77s
(index):104 playing at 233.77s
(index):104 waiting at 239.20s
(index):104 canplay at 239.25s
(index):104 playing at 239.25s
(index):104 canplaythrough at 239.25s
(index):104 pause at 245.25s
